Animal ID,Genotype,Sex
684-1,WT,M
684-2,WT,F
684-3,WT,M
684-4,WT,M
684-5,WT,F
684-6,GNB1,M
684-7,WT,M
684-8,GNB1,M
684-9,WT,F
684-10,GNB1,M
623-1,GNB1,M
623-2,WT,F
623-3,WT,F
623-4,GNB1,M
623-5,GNB1,M
623-6,WT,M
623-7,GNB1,F
623-8,WT,F
553-1,WT,M
553-2,WT,F
553-3,GNB1,F
554-1,WT,M
554-2,WT,F
554-3,GNB1,F
554-4,GNB1,M
554-5,GNB1,M
554-6,WT,M
554-7,WT,F
554-8,WT,M
554-9,GNB1,F
554-10,GNB1,F
554-11,GNB1,M
620-1,WT,F
620-2,GNB1,M
620-3,WT,F
620-4,WT,F
620-5,WT,M
637-1,GNB1,F
637-2,WT,F
637-3,WT,F
637-4,GNB1,F
637-5,WT,M
637-6,GNB1,M
637-7,GNB1,F
637-8,WT,F
637-9,WT,M
637-10,WT,M
636-1,WT,F
655-1,GNB1,M
655-2,WT,M
655-3,GNB1,M
655-4,WT,F
655-5,WT,M
655-6,GNB1,M
656-1,WT,F
656-2,WT,M
656-3,WT,F
656-4,GNB1,F
656-5,GNB1,F
656-6,GNB1,M
656-7,GNB1,M
656-8,GNB1,F
656-9,WT,M
656-10,WT,M
656-11,GNB1,M
656-12,GNB1,
637/2-1,GNB1,F
637/2-2,WT,F
637/2-3,GNB1,M
637/2-4,GNB1,F
637/2-5,WT,F
637/2-6,WT,M
637/2-7,WT,M
637/2-8,WT,M
655/2-1,WT,M
655/2-2,GNB1,F
655/2-3,WT,M
655/2-4,GNB1,F
655/2-5,WT,M
655/2-6,WT,F
655/2-7,WT,M
635-1,WT,F
635-2,WT,F
635-3,GNB1,M
635-4,GNB1,F
635-5,GNB1,F
635-6,WT,M
635-7,WT,F
645-1,WT,M
645-2,WT,M
645-3,WT,F
645-4,WT,M
645-5,WT,M
645-6,WT,F
645-7,GNB1,M
645-8,WT,F
645-9,GNB1,M
645-10,WT,F
645-11,WT,F
635-8,WT,M
645/2-1,WT,M
645/2-2,GNB1,M
645/2-3,WT,F
645/2-4,WT,M
645/2-5,WT,F
645/2-6,WT,F
645/2-7,GNB1,F
645/2-8,WT,M
645/2-9,WT,F
645/2-10,WT,F
645/2-11,GNB1,M
645/2-12,GNB1,M
645/2-13,GNB1,M
375-1,WT,M
375-2,GNB1,M
375-3,GNB1,
375-4,GNB1,F
375-5,GNB1,M
375-6,GNB1,M
375-7,WT,F
375-8,WT,F
375-9,WT,F
368-1,GNB1,F
368-2,GNB1,F
368-3,GNB1,F
368-4,WT,M
358-1,GNB1,M
358-2,WT,F
358-3,GNB1,M
358-4,GNB1,M
358-5,WT,F
358-6,WT,F
358-7,GNB1,M
575-1,GNB1,M
575-2,GNB1,M
575-3,WT,M
575-4,WT,M
575-5,WT,F
575-6,GNB1,F
575-7,WT,F
575-8,WT,F
584-1,WT,M
584-2,GNB1,M
584-3,GNB1,F
584-4,WT,F
584-5,WT,F
584-6,WT,M
584-7,GNB1,M
584-8,WT,F
584-9,GNB1,M
575/2-1,WT,F
575/2-2,WT,F
575/2-3,WT,F
575/2-4,WT,M
575/2-5,GNB1,F
575/2-6,WT,M
575/2-7,GNB1,F
575/2-8,GNB1,M
575/2-9,WT,F
575/2-10,WT,F
571-1,WT,M
571-2,WT,F
571-3,GNB1,F
571-4,GNB1,M
571-5,GNB1,F
571-6,WT,F
571-7,WT,M
571-8,GNB1,F
571-9,WT,M
534-1,WT,M
534-2,GNB1,M
534-3,GNB1,M
534-4,WT,M
534-5,GNB1,F
534-6,GNB1,M
534-7,GNB1,M
534-8,WT,F
534-9,GNB1,F
534-10,GNB1,M
534-11,WT,F
524-1,WT,M
524-2,GNB1,M
524-3,GNB1,F
524-4,WT,F
524-5,WT,M
524-6,WT,M
524-7,GNB1,F
524-8,WT,M
524-9,WT,F
524-10,WT,M
363-1,WT,F
363-2,GNB1,M
363-3,WT,M
363-4,WT,M
363-5,WT,M
363-6,WT,M
363-7,WT,M
363-8,WT,M
534/2-1,WT,M
534/2-2,GNB1,F
534/2-3,WT,M
534/2-4,WT,F
534/2-5,GNB1,F
534/2-6,GNB1,M
534/2-7,WT,F
534/2-8,WT,M
534/2-9,GNB1,M
534/2-10,GNB1,F
534/2-11,GNB1,F
534/2-12,WT,M
515-1,GNB1,M
515-2,WT,M
515-3,WT,F
515-4,WT,F
515-5,WT,M
515-6,GNB1,M
515-7,GNB1,M
515-8,GNB1,F
515-9,GNB1,F
513-1,GNB1,M
513-2,WT,M
513-3,WT,M
513-4,WT,F
513-5,GNB1,M
513-6,GNB1,F
513-7,GNB1,M
513-8,WT,F
513-9,WT,M
505-1,WT,M
505-2,WT,F
505-3,WT,M
505-4,GNB1,F
505-5,GNB1,F
505-6,GNB1,M
505-7,WT,M
505-8,GNB1,M
505-9,GNB1,F
107-1,GNB1,M
107-2,GNB1,F
107-3,GNB1,F
107-4,GNB1,M
107-5,WT,F
107-6,WT,F
107-7,WT,M
107-8,GNB1,M
515/2 - 1,GNB1,F
515/2 - 2,GNB1,M
515/2 - 3,WT,F
515/2 - 4,WT,F
515/2 - 5,GNB1,F
515/2 - 6,GNB1,M
515/2 - 7,WT,M
515/2 - 8,WT,F
248-1,WT,F
248-2,GNB1,F
248-3,WT,F
248-4,WT,M
248-5,GNB1,F
248-6,WT,F
248-7,WT,M
248-8,GNB1,M
248-9,GNB1,M
248-10,WT,F
248-11,WT,F
532-1,WT,F
532-2,WT,F
532-3,GNB1,F
532-4,WT,M
532-5,WT,M
532-6,GNB1,M
532-7,WT,F
532-8,WT,F
272-1,GNB1,M
272-2,WT,M
272-3,WT,M
272-4,GNB1,M
272-5,WT,F
272-6,GNB1,F
272-7,GNB1,M
272-8,WT,M
272-9,WT,M
292-1,GNB1,F
292-2,WT,M
292-3,WT,M
292-4,GNB1,M
292-5,GNB1,F
292-6,WT,M
292-7,GNB1,F
292-8,WT,F
245-1,WT,M
245-2,WT,F
245-3,WT,F
245-4,GNB1,M
245-5,WT,F
245-6,GNB1,F
245-7,GNB1,M
245-8,GNB1,M
245-9,GNB1,F
095-1,GNB1,F
095-2,WT,F
095-3,WT,F
095-4,WT,F
095-5,GNB1,M
095-6,GNB1,F
095-7,WT,M
095-8,WT,M