Date,Cell,Rheobase Sweep,Genotype,Mouse Age (weeks),Sex,Experiment Notes,Inclusion,Single Pathway Plateau Inclusion,Stimulation Pathways,ESPS Stim Time File Name,Plateau Sweeps,Theta Burst Stim Time File Name,Drugs,Voltage Change,Vm rest/start (mV),Access Resistance (Bridge Balance),Access Resistance (From Whole Cell V-Clamp),Changed Holding Current,Holding Voltage,Slice Solution,Slice Solution Osmolarity,Recovery/Storage Solution,Recording Solution,Recording/Recording Osmolarity,Slice Orientation,Brain Region,Slice Thickness,Recording Temp. (degrees Celcius),Formatted Date,Cell_ID
7022024,c2,,WT,7,Male,"BTSP: {baseline: 4-33, After_LTP:39-128, current_inj: 300pA, delay: -300ms, channels: {channel_1:Test Schaffer, channel_2: Control Schaffer}}; Worked?",Yes: [BTSP -300ms],,,,,,2_M Gabazine ,,-65,,,,-70 to -80,Sucrose,312,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240702,20240702_c2
7022024,c3,,WT,7,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-53,,,,-70 to -80,Sucrose,312,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240702,20240702_c3
7042024,c1,,WT,7,Male,"BTSP: {baseline: 32-61, After_LTP:67-152, current_inj: 300pA, delay: -300ms, channels: {channel_1:Test Schaffer, channel_2: Control Schaffer}}; Worked?",Yes: [BTSP 0ms],,,,,,2_M Gabazine ,,-58,,,,-70 to -80,Sucrose,312,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240704,20240704_c1
7042024,c2,,WT,7,Male,"BTSP: {baseline: 7-37, After_LTP:43:, current_inj: 300pA, delay: 0ms, channels: {channel_1:Test Schaffer, channel_2: Control Schaffer}}; Worked?",Yes: [BTSP 0ms],,,,,,2_M Gabazine ,,-58,,,,-70 to -80,Sucrose,312,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240704,20240704_c2
7092024,c1,18,WT,8,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-60,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240709,20240709_c1
7092024,c2,55,WT,8,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-70,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240709,20240709_c2
7092024,c3,18,WT,8,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-67,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240709,20240709_c3
7092024,c4,26,WT,8,Male,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I + Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_89},Theta_Burst_MCIII_new_variant_2,10_M Gabazine washed in for E/I + plateaus,,-70,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240709,20240709_c4
7112024,c1,66,WT,8,Female,Coarse-FI; Fine-FI; Voltage-Sag; E/I Up to 10 Control,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,10_M Gabazine washed in for E/I,,-70,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240711,20240711_c1
7112024,c2,40,WT,8,Female,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I; no Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,10_M Gabazine washed in for E/I ,,-55,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240711,20240711_c2
7112024,c3,31,WT,8,Female,Coarse-FI; Fine-FI; Voltage-Sag; E/I Up to 100 Gabazine,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,10_M Gabazine washed in for E/I ,,-53,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20240711,20240711_c3
7172024,c1,110,WT,9,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-71,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240717,20240717_c1
7172024,c2,20,WT,9,Female,Coarse-FI; Fine-FI: Voltage-Sag;Full E/I + Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_84},Theta_Burst_MCIII_new_variant_2,10_M Gabazine washed in for E/I + plateaus,,-70,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240717,20240717_c2
7172024,c3,31,WT,9,Female,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I+ Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_97},Theta_Burst_MCIII_new_variant_2,10_M Gabazine washed in for E/I + plateaus,,-66,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240717,20240717_c3
7232024,c1,49,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-70,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240723,20240723_c1
7232024,c2,25,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-63,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240723,20240723_c2
7232024,c3,16,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-67,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240723,20240723_c3
7232024,c4,30,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-67,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240723,20240723_c4
7232024,c5,24,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-71,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240723,20240723_c5
7232024,c6,21,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-69,,,,-70,Sucrose ,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240723,20240723_c6
7302024,c1,61,GNB1,11,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-60,,,,-70,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240730,20240730_c1
7302024,c2,70,GNB1,11,Female,Coarse-FI; Fine-FI; Voltage-Sag; E/I Up to 100 Gabazine,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,10_M Gabazine washed in for E/I ,,-55,,,,-70,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240730,20240730_c2
7302024,c3,29,GNB1,11,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-71,,,,-70,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240730,20240730_c3
8092024,c1,12,GNB1,9,Male,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-61,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c1
8092024,c2,119,GNB1,9,Male,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I+ Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_196},Theta_Burst_MCIII_new_variant_2,10_M Gabazine washed in for E/I + plateaus,,-58,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c2
8092024,c3,43,GNB1,9,Male,Coarse-FI; Fine-FI; Voltage-Sag; E/I Up to 10 Control,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,,,-63,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c3
8092024,c4,39,GNB1,9,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-45,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c4
8092024,c5,31,GNB1,9,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-52,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c5
8092024,c6,19,GNB1,9,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-71,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c6
8092024,c7,17,GNB1,9,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-55,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240809,20240809_c7
8142024,c1,60,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag; E/I Up to 10 Control - Forgot to add Gabazine,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,,,-67,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c1
8142024,c2,41,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-75,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c2
8142024,c3,59,GNB1,10,Female,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I+ Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_113},Theta_Burst_MCIII_new_edited,10_M Gabazine washed in for E/I + plateaus,,-64,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c3
8142024,c4,29,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-66,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c4
8142024,c5,24,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-62,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c5
8142024,c6,17,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-67,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c6
8142024,c7,47,GNB1,10,Female,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-65,,,,-70,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20240814,20240814_c7
8222024,c1,,GNB1,11,Female,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-68,,,,-70 to -80,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,306,sagittal,Dorsal CA1,250,35,20240822,20240822_c1
8222024,c2,,GNB1,11,Female,"BTSP: {baseline: 10-33, After_LTP: 39:, current_inj: 300pA, delay: 0ms, channels: {channel_1:Test Schaffer, channel_2: Control Schaffer}} - Worked?",Yes: [BTSP 0ms],,,,,,2_M Gabazine ,,-75,,,,-70 to -80,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,306,sagittal,Dorsal CA1,250,35,20240822,20240822_c2
8292024,c1,36,GNB1,9,Female,Coarse-FI; Fine-FI: Voltage-Sag;Full E/I + Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_84},Theta_Burst_MCIII_new_edited,10_M Gabazine washed in for E/I + plateaus,,-62,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240829,20240829_c1
8292024,c2,34,GNB1,9,Female,Coarse-FI; Fine-FI; Voltage-Sag; E/I Up to 25 Control,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,,,,,-58,,,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,longitudinal ,Dorsal CA1,250,35,20240829,20240829_c2
9052024,c1,25,GNB1,10,Male,Coarse-FI; Fine-FI; Voltage-Sag; Perforant Full E/I ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I]",,"{channel_1: perforant, channel_2:}",ISI_times_dict_newer,,,10_M Gabazine washed in first; then 10_M Baclofen + 10_M Gabazine washed in next,,-70,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,306,longitudinal ,Dorsal CA1,250,35,20240905,20240905_c1
9052024,c2,37,GNB1,10,Male,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I + Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_82},Theta_Burst_MCIII_new_edited,10_M Gabazine washed in for E/I + plateaus,,-65,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,306,longitudinal ,Dorsal CA1,250,35,20240905,20240905_c2
9052024,c3,16,GNB1,10,Male,Coarse-FI; Fine-FI: Voltage-Sag; Full E/I + Plateaus,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, E/I, plateau]",Yes,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_newer,{Gabazine: sweep_59},Theta_Burst_MCIII_new_edited,10_M Gabazine washed in for E/I + plateaus,,-69,,,,-70,Sucrose,311,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,306,longitudinal ,Dorsal CA1,250,35,20240905,20240905_c3
9242024,c1,,WT,12,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-53,,,,-70 to -80,Sucrose,306,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,sagittal,Dorsal CA1,250,35,20240924,20240924_c1
9242024,c3,,WT,12,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-57,,,,-70 to -80,Sucrose,306,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,sagittal,Dorsal CA1,250,35,20240924,20240924_c3
10012024,c1,,WT,10,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-63,,,,-70 to -80,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,sagittal,Dorsal CA1,250,35,20241001,20241001_c1
10012024,c2,,WT,10,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-73,,,,-70 to -80,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,sagittal,Dorsal CA1,250,35,20241001,20241001_c2
10082024,c3,,WT,9,Male,"BTSP: {baseline: 26-55, After_LTP: 61:150, current_inj: 300pA, delay: 0ms, channels: {channel_1:Test Schaffer, channel_2: Control Schaffer}} - Worked?; spontaneous plateaus occured",Yes: [BTSP 0ms],,,,,,2_M Gabazine ,,-68,,,,-70 to -80,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,transverse (horizontal),Dorsal CA1,400,35,20241008,20241008_c3
10102024,c3,,WT,11,Female,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-73,,,,-70 to -80,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,transverse (horizontal),Dorsal CA1,400,35,20241010,20241010_c3
10152024,c1,,GNB1,12,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-68,,,,-70 to -80,Sucrose,309,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,sagittal,Dorsal CA1,250,35,20241015,20241015_c1
10172024,c1,,GNB1,12,Male,300 ms unitary Gabazine; Plateaus,No: Lost Cell,,,,,,10_M Gabazine washed in,,-66,,,,-70,Sucrose,300,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20241017,20241017_c1
10172024,c3,,GNB1,12,Male,300 ms unitary Gabazine; Plateaus,No: Lost Cell,,,,,,10_M Gabazine washed in,,-71,,,,-70,Sucrose,300,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20241017,20241017_c3
10172024,c4,,GNB1,12,Male,300 ms unitary Gabazine; Plateaus Gabazine + Plateaus GIRK Agonist (Full GIRK Experiment),No: Input resistance dropped significantly - below 50 mOhms,,,,,,10_M Gabazine washed in ,,-70,,,,-70,Sucrose,300,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20241017,20241017_c4
10172024,c5,,GNB1,12,Male,300 ms unitary Gabazine; Plateaus,No: Bad Recording,,,,,,10_M Gabazine washed in,,-60,,,,-70,Sucrose,300,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,longitudinal ,Dorsal CA1,250,35,20241017,20241017_c5
11202024,c1,,WT,9,Female,BTSP attempt - lost cell,No,,,,,,2_M Gabazine ,,-73,,,,-70 to -80,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,302,sagittal,Dorsal CA1,250,35,20241120,20241120_c1
11202024,c2,,WT,9,Female,"BTSP: {baseline: 3-32, After_LTP: 38:127, current_inj: 300pA, delay: 0ms, channels: {channel_1:Test Schaffer, channel_2: Control Schaffer}} - Worked?",Yes: [BTSP 0ms],,,,,,2_M Gabazine ,,-55,,,,-70 to -80,Sucrose,308,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,302,sagittal,Dorsal CA1,250,35,20241120,20241120_c2
12032024,c1,,WT,11,Female,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-70,,25,,-70 to -80,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,sagittal,Dorsal CA1,250,35,20241203,20241203_c1
12032024,c2,,WT,11,Female,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-63,,29,,-70 to -80,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,sagittal,Dorsal CA1,250,35,20241203,20241203_c2
12032024,c3,,WT,11,Female,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-50,,32.66,,-70 to -80,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,sagittal,Dorsal CA1,250,35,20241203,20241203_c3
12112024,c1,34,GNB1,11,Male,Coarse-FI; Fine-FI; Voltage-Sag; 300 ms unitary Control; 300 ms unitary Gabazine; Plateaus Gabazine + Plateaus GIRK Agonist (Full GIRK Experiment) - Worked!!,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, Unitary Gabazine, plateau, plateau ML297]",Yes,"{channel_1: perforant, channel_2: schaffer}",,"{Gabazine: sweep_60, ML297: sweep_64}",Theta_Burst_MCIII_new_edited,10_M Gabazine washed in first; then 10_M ML297 washed in next,,-70,,20.17,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,303,longitudinal ,Dorsal CA1,250,35,20241211,20241211_c1
12112024,c2,23,GNB1,11,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-77,,27.09,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,303,longitudinal ,Dorsal CA1,250,35,20241211,20241211_c2
12202024,c1,,WT,11,Male,BTSP attempt - too many spontaneous plateaus to quantify,No,,,,,,2_M Gabazine ,,-79,,37.25,,-70 to -80,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,sagittal,Dorsal CA1,250,35,20241220,20241220_c1
12202024,c2,,WT,11,Male,BTSP - failed experiment,No,,,,,,2_M Gabazine ,,-60,,45,,-70 to -80,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,307,sagittal,Dorsal CA1,250,35,20241220,20241220_c2
1142025,c1,3,GNB1,8,Male,Coarse-FI; Fine-FI; Voltage-Sag ,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag] ",,,,,,,,-74,,21.75,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20250114,20250114_c1
1142025,c2,19,GNB1,8,Male,Coarse-FI; Fine-FI; Voltage-Sag; 300 ms unitary Control; 300 ms unitary Gabazine; Plateaus Gabazine + Plateaus GIRK Agonist; 300 ms unitary GIRK Agonist (Full GIRK Experiment) - Worked!!,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, Unitary Gabazine, plateau, plateau ML297]",Yes,"{channel_1: perforant, channel_2: schaffer}",,"{Gabazine: sweep_44, ML297: sweep_47}",Theta_Burst_MCIII_new_edited,10_M Gabazine washed in first; then 10_M ML297 washed in next,,-64,,32.75,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20250114,20250114_c2
1142025,c3,,GNB1,8,Male,Coarse-FI; Fine-FI; Voltage-Sag; 300 ms unitary Control; 300 ms unitary Gabazine; Plateaus Gabazine ,No: Bad Recording,,,,,,10_M Gabazine washed in,,-71,,21.31,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,longitudinal ,Dorsal CA1,250,35,20250114,20250114_c3
1162025,c1,16,GNB1,8,Female,Coarse-FI; Fine-FI; Voltage-Sag; 300 ms unitary Control; 300 ms unitary Gabazine; Plateaus Gabazine + Plateaus GIRK Agonist; 300 ms unitary GIRK Agonist (Full GIRK Experiment) - Worked!!,"Yes: [Coarse-FI, Fine-FI, Voltage-Sag, Unitary Gabazine, plateau, plateau ML297]",Yes,"{channel_1: perforant, channel_2: schaffer}",,"{Gabazine: sweep_33, ML297: sweep_36}",Theta_Burst_MCIII_new_edited,10_M Gabazine washed in first; then 10_M ML297 washed in next,,-60,,45,,-70,Sucrose,310,ACSF - 2mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,306,longitudinal ,Dorsal CA1,250,35,20250116,20250116_c1
